top - 20:59:19 up 5 min,  2 users,  load average: 0.30, 0.46, 0.26
Tasks:  85 total,   1 running,  59 sleeping,   0 stopped,   1 zombie
%Cpu(s): 23.5 us,  8.3 sy,  0.0 ni, 67.1 id,  1.0 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem :   443904 total,   136668 free,    82548 used,   224688 buff/cache
KiB Swap:   102396 total,   102396 free,        0 used.   302980 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
   98 root      20   0   14532   3256   2616 S  0.0  0.7   0:00.95 systemd-ude+
  114 root      20   0       0      0      0 I  0.0  0.0   0:00.03 kworker/u2:2
  189 systemd+  20   0   17260   3996   3560 S  0.0  0.9   0:00.54 systemd-tim+
  208 nobody    20   0    5284   2400   2160 S  0.0  0.5   0:00.04 thd
  215 root      20   0    7368   4220   3788 S  0.0  1.0   0:00.27 systemd-log+
  221 root      20   0   22848   2980   2300 S  0.0  0.7   0:00.21 rsyslogd
  230 root      20   0    5288   2492   2276 S  0.0  0.6   0:00.03 cron
  232 message+  20   0    6592   3692   3136 S  0.0  0.8   0:00.74 dbus-daemon
  241 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 cfg80211
  242 root      20   0    2932   1904   1576 S  0.0  0.4   0:00.01 dhcpcd
  251 avahi     20   0    6384   3096   2764 S  0.0  0.7   0:00.08 avahi-daemon
  259 avahi     20   0    6384   1600   1296 S  0.0  0.4   0:00.00 avahi-daemon
  299 root      20   0   36360   5800   5156 S  0.0  1.3   0:00.27 lightdm
  305 root      20   0    3956   1996   1864 S  0.0  0.4   0:00.02 agetty
  307 root      20   0    5872   2924   2472 S  0.0  0.7   0:00.12 login
  341 pi        20   0    9752   5824   5044 S  0.0  1.3   0:00.73 systemd
  345 pi        20   0   11340   2812   1540 S  0.0  0.6   0:00.00 (sd-pam)
  349 root      20   0   29588   6152   5448 S  0.0  1.4   0:00.18 lightdm
  364 pi        20   0   49736  11516  10264 S  0.0  2.6   0:00.86 lxsession
  366 pi        20   0    6160   4112   2764 S  0.0  0.9   0:01.05 bash
  376 pi        20   0    6504   3552   3092 S  0.0  0.8   0:00.54 dbus-daemon
  428 pi        20   0    3780    900    688 S  0.0  0.2   0:00.00 ssh-agent
  434 pi        20   0   38608   5948   5364 S  0.0  1.3   0:00.29 gvfsd
  439 pi        20   0   51168   5284   4664 S  0.0  1.2   0:00.16 gvfsd-fuse
  455 pi        20   0   53604  14784  11928 S  0.0  3.3   0:02.71 openbox
  456 pi        20   0   43076  10788   9728 S  0.0  2.4   0:00.33 lxpolkit
  470 pi        20   0    3780    984    772 S  0.0  0.2   0:00.00 ssh-agent
  478 root      20   0   37920   7108   5448 S  0.0  1.6   0:00.52 polkitd
  495 pi        20   0   26188   4964   4504 S  0.0  1.1   0:00.09 menu-cached
  504 pi        20   0       0      0      0 Z  0.0  0.0   0:00.01 sh
  512 pi        20   0   73392  10644   9280 S  0.0  2.4   0:00.86 gvfs-udisks+
  519 root      20   0   54732   7640   5972 S  0.0  1.7   0:00.96 udisksd
  526 pi        20   0   48908   7044   6296 S  0.0  1.6   0:00.17 gvfs-afc-vo+
  531 pi        20   0   37796   5832   5184 S  0.0  1.3   0:00.18 gvfs-gphoto+
  535 pi        20   0   36316   5300   4828 S  0.0  1.2   0:00.14 gvfs-goa-vo+
  539 pi        20   0   36232   5292   4752 S  0.0  1.2   0:00.16 gvfs-mtp-vo+
  552 pi        20   0   47040   6796   6040 S  0.0  1.5   0:00.35 gvfsd-trash
  560 root      20   0       0      0      0 S  0.0  0.0   0:00.00 jbd2/mmcblk+
  561 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 ext4-rsv-co+
  563 root       0 -20       0      0      0 I  0.0  0.0   0:00.00 kworker/0:1H
  580 pi        20   0    2344   1440   1308 S  0.0  0.3   0:00.02 gnome-pty-h+
  581 pi        20   0    6100   4160   2872 S  0.0  0.9   0:00.71 bash
  599 pi        20   0   27932   5188   4744 S  0.0  1.2   0:00.10 gvfsd-metad+
  606 pi        20   0    6100   4192   2904 S  0.0  0.9   0:00.87 bash

top - 20:59:22 up 5 min,  2 users,  load average: 0.28, 0.46, 0.26
Tasks:  86 total,   2 running,  59 sleeping,   0 stopped,   1 zombie
%Cpu(s): 77.6 us, 22.4 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :   443904 total,    21928 free,   234364 used,   187612 buff/cache
KiB Swap:   102396 total,   102396 free,        0 used.   151052 avail Mem 

